Symptoms of mental illness,Unarmed/Did Not Have an Actual Weapon,Alleged Weapon,Fleeing,Body Camera,Victims gender,Victims race,Cluster
No,Allegedly Armed,knife,Not fleeing,Inputed No,Male,Unknown race,0
No,Allegedly Armed,knife,Not fleeing,Inputed No,Male,Unknown race,0
No,Allegedly Armed,knife,Not fleeing,Inputed No,Male,Unknown race,0
Drug or alcohol use,Vehicle,vehicle,Car,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,knife,Not fleeing,Inputed No,Male,White,0
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Foot,Yes,Male,Black,0
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Unknown race,0
No,Unclear,undetermined,Other,Yes,Male,Hispanic,0
No,Unclear,undetermined,Foot,No,Male,Black,0
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Hispanic,2
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,Yes,Male,White,0
No,Allegedly Armed,knife,Inputed NF,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
Drug or alcohol use,Vehicle,vehicle,Car,No,Male,Hispanic,0
No,Allegedly Armed,gun,Foot,No,Male,White,0
No,Allegedly Armed,gun,Foot,Yes,Male,Hispanic,0
No,Allegedly Armed,gun,Foot,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
No,Allegedly Armed,gun,Inputed NF,No,Male,Unknown race,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race,0
No,Allegedly Armed,gun,Foot,No,Male,Unknown race,0
Yes,Allegedly Armed,knife,Foot,No,Male,Black,1
No,Allegedly Armed,knife,Not fleeing,Inputed No,Male,Unknown race,0
No,Unclear,undetermined,Inputed NF,No,Male,Native American,0
No,Allegedly Armed,knife,Inputed NF,No,Male,Unknown race,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Car,Inputed No,Male,White,2
Yes,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
Yes,Allegedly Armed,gun,Inputed NF,No,Male,White,1
Yes,Allegedly Armed,gun,Car,No,Male,White,1
No,Allegedly Armed,gun,Inputed NF,No,Male,Unknown race,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
No,Allegedly Armed,gun,Inputed NF,No,Male,White,0
Yes,Allegedly Armed,others,Inputed NF,No,Male,Black,1
No,Allegedly Armed,gun,Foot,Inputed No,Male,White,2
No,Unclear,undetermined,Inputed NF,No,Male,Unknown race,0
Unknown,Allegedly Armed,gun,Foot,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,White,0
No,Allegedly Armed,others,Not fleeing,Inputed No,Male,White,0
No,Allegedly Armed,gun,Foot,No,Male,Hispanic,0
No,Allegedly Armed,knife,Car,No,Male,Hispanic,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Car,No,Male,Unknown race,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Vehicle,vehicle,Other,No,Male,White,0
No,Allegedly Armed,gun,Foot,No,Male,Black,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race,0
No,Allegedly Armed,gun,Inputed NF,No,Male,White,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race,0
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
No,Allegedly Armed,gun,Inputed NF,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Unknown race,2
Drug or alcohol use,Vehicle,vehicle,Inputed NF,Inputed No,Male,Black,2
Yes,Allegedly Armed,gun,Not fleeing,No,Female,Unknown race,1
No,Allegedly Armed,gun,Foot,No,Male,White,0
No,Vehicle,vehicle,Car,No,Male,Unknown race,0
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,White,1
Yes,Allegedly Armed,gun,Foot,No,Male,White,1
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,1
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Unknown race,0
No,Unclear,undetermined,Inputed NF,No,Male,Hispanic,0
No,Allegedly Armed,gun,Foot,No,Male,Hispanic,0
