Symptoms of mental illness,Unarmed/Did Not Have an Actual Weapon,Alleged Weapon,Fleeing,Body Camera,Victims gender,Victims race
No,Allegedly Armed,knife,Not fleeing,Inputed No,Male,Unknown race
No,Allegedly Armed,knife,Not fleeing,Inputed No,Male,Unknown race
No,Allegedly Armed,knife,Not fleeing,Inputed No,Male,Unknown race
Drug or alcohol use,Vehicle,vehicle,Car,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,knife,Not fleeing,Inputed No,Male,White
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Foot,Yes,Male,Black
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Unknown race
No,Unclear,undetermined,Other,Yes,Male,Hispanic
No,Unclear,undetermined,Foot,No,Male,Black
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Hispanic
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,Yes,Male,White
No,Allegedly Armed,knife,Inputed NF,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
Drug or alcohol use,Vehicle,vehicle,Car,No,Male,Hispanic
No,Allegedly Armed,gun,Foot,No,Male,White
No,Allegedly Armed,gun,Foot,Yes,Male,Hispanic
No,Allegedly Armed,gun,Foot,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,No,Male,Unknown race
No,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Foot,No,Male,Unknown race
Yes,Allegedly Armed,knife,Foot,No,Male,Black
No,Allegedly Armed,knife,Not fleeing,Inputed No,Male,Unknown race
No,Unclear,undetermined,Inputed NF,No,Male,Native American
No,Allegedly Armed,knife,Inputed NF,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,Inputed No,Male,White
Yes,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic
Yes,Allegedly Armed,gun,Inputed NF,No,Male,White
Yes,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,gun,Inputed NF,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,No,Male,White
Yes,Allegedly Armed,others,Inputed NF,No,Male,Black
No,Allegedly Armed,gun,Foot,Inputed No,Male,White
No,Unclear,undetermined,Inputed NF,No,Male,Unknown race
Unknown,Allegedly Armed,gun,Foot,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,White
No,Allegedly Armed,others,Not fleeing,Inputed No,Male,White
No,Allegedly Armed,gun,Foot,No,Male,Hispanic
No,Allegedly Armed,knife,Car,No,Male,Hispanic
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Car,No,Male,Unknown race
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Vehicle,vehicle,Other,No,Male,White
No,Allegedly Armed,gun,Foot,No,Male,Black
No,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black
No,Allegedly Armed,gun,Inputed NF,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Unknown race
Drug or alcohol use,Vehicle,vehicle,Inputed NF,Inputed No,Male,Black
Yes,Allegedly Armed,gun,Not fleeing,No,Female,Unknown race
No,Allegedly Armed,gun,Foot,No,Male,White
No,Vehicle,vehicle,Car,No,Male,Unknown race
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,White
Yes,Allegedly Armed,gun,Foot,No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Unknown race
No,Unclear,undetermined,Inputed NF,No,Male,Hispanic
No,Allegedly Armed,gun,Foot,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,knife,Foot,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Foot,Yes,Male,Black
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Other,No,Male,Unknown race
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Unknown race
No,Unclear,others,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Other,No,Male,Hispanic
No,Allegedly Armed,gun,Foot,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black
Yes,Allegedly Armed,knife,Not fleeing,No,Female,Unknown race
