Cause_of_death,Age,Subjects_gender,Region,Subjects_race,Cluster
Vehicle,17.0,Male,West,European-American/White,0
Vehicle,21.0,Male,Midwest,African-American/Black,2
Vehicle,19.0,Male,Midwest,African-American/Black,2
Vehicle,23.0,Male,Southwest,Hispanic/Latino,2
Vehicle,24.0,Female,West,African-American/Black,0
Gunshot,53.0,Male,Southeast,African-American/Black,1
Vehicle,30.0,Male,Southeast,African-American/Black,1
Vehicle,29.0,Male,Southeast,African-American/Black,1
Gunshot,55.0,Male,Northeast,European-American/White,0
Vehicle,42.0,Female,Northeast,European-American/White,2
Vehicle,41.0,Female,Northeast,European-American/White,2
Gunshot,23.0,Male,Midwest,European-American/White,0
Gunshot,45.0,Male,Southeast,African-American/Black,1
Others,20.0,Male,Southeast,African-American/Black,1
Vehicle,25.0,Male,Southeast,African-American/Black,1
Vehicle,29.0,Male,Southeast,African-American/Black,1
Vehicle,22.0,Male,Southeast,European-American/White,1
Gunshot,19.0,Male,Midwest,European-American/White,0
Gunshot,23.0,Male,Southeast,African-American/Black,1
Gunshot,31.0,Male,West,European-American/White,0
Gunshot,36.0,Male,Midwest,European-American/White,0
Gunshot,28.0,Male,Southeast,African-American/Black,1
Gunshot,28.0,Male,Midwest,European-American/White,0
Others,28.0,Male,West,European-American/White,0
Gunshot,35.0,Male,Southeast,European-American/White,0
Gunshot,36.0,Male,Southeast,European-American/White,0
Gunshot,35.0,Female,Southeast,European-American/White,0
Gunshot,33.0,Male,Southeast,African-American/Black,1
Vehicle,20.0,Male,West,European-American/White,0
Gunshot,24.0,Male,West,Hispanic/Latino,0
Vehicle,25.0,Male,Southeast,European-American/White,2
Gunshot,26.0,Male,Northeast,African-American/Black,1
Gunshot,41.0,Male,Northeast,European-American/White,0
Gunshot,68.0,Male,Northeast,European-American/White,0
Vehicle,16.0,Male,Southeast,Hispanic/Latino,1
Gunshot,17.0,Male,Southeast,African-American/Black,1
Vehicle,49.0,Male,Southwest,African-American/Black,1
Gunshot,33.0,Male,Southwest,Hispanic/Latino,0
Gunshot,29.0,Male,Northeast,Asian/Pacific Islander,0
Gunshot,27.0,Male,Northeast,African-American/Black,1
Vehicle,50.0,Female,Southeast,European-American/White,2
Gunshot,44.0,Male,Southwest,European-American/White,0
Gunshot,41.0,Male,West,Hispanic/Latino,0
Gunshot,43.0,Male,Midwest,European-American/White,0
Gunshot,25.0,Male,West,Hispanic/Latino,0
Gunshot,38.0,Male,Northeast,European-American/White,0
Gunshot,31.0,Male,Southeast,African-American/Black,1
Gunshot,21.0,Male,West,European-American/White,0
Vehicle,17.0,Male,Midwest,African-American/Black,2
Gunshot,28.0,Male,Northeast,European-American/White,0
Gunshot,33.0,Male,Southeast,African-American/Black,1
Gunshot,26.0,Male,Southwest,European-American/White,0
Vehicle,24.0,Male,Midwest,African-American/Black,2
Gunshot,34.0,Male,Midwest,European-American/White,0
Gunshot,32.0,Male,Northeast,European-American/White,0
Vehicle,14.0,Male,Southeast,European-American/White,2
Gunshot,31.0,Male,Southwest,European-American/White,0
Vehicle,17.0,Male,Northeast,European-American/White,2
Vehicle,17.0,Male,Northeast,European-American/White,2
Gunshot,33.0,Male,Northeast,African-American/Black,0
Gunshot,29.0,Male,Midwest,European-American/White,0
Vehicle,15.0,Male,Southwest,Hispanic/Latino,2
Vehicle,18.0,Male,Southwest,Native American/Alaskan,2
Gunshot,28.0,Male,West,Asian/Pacific Islander,0
Gunshot,18.0,Male,Midwest,European-American/White,0
Gunshot,29.0,Male,Northeast,African-American/Black,1
Gunshot,15.0,Male,Northeast,African-American/Black,1
Gunshot,26.0,Male,West,African-American/Black,0
Gunshot,33.0,Male,Midwest,European-American/White,0
Gunshot,36.0,Male,Midwest,Hispanic/Latino,0
Gunshot,23.0,Male,Southwest,Native American/Alaskan,0
